country,date,name,kind,movable,source,verified
KG,2019-01-07,Рождество Христово,religious,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2019-02-23,День защитника Отечества,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2019-03-08,Международный женский день,womens,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2019-03-21,Народный праздник Нооруз,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2019-04-07,День народной Апрельской революции,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2019-05-01,Праздник труда,labour,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2019-05-05,День Конституции,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2019-05-09,День Победы,victory,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2019-06-05,Орозо айт,religious,yes,https://mlsp.gov.kg/ru/2019/05/30/prazdnik-orozo-ajt/,primary
KG,2019-08-11,Курман айт,religious,yes,https://mlsp.gov.kg/ru/2019/08/09/soglasno-informaczii-predstavitelej-duhovnogo-upravleniya-musulman-kyrgyzstana-11-avgusta-tekushhego-goda-opredeleno-dnyom-prazdnovaniya-kurman-ajt/,primary
KG,2019-08-31,День независимости,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2019-11-07,Дни истории и памяти предков,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2019-11-08,Дни истории и памяти предков,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2020-01-01,Новый год,newyear,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2020-01-07,Рождество Христово,religious,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2020-02-23,День защитника Отечества,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2020-03-08,Международный женский день,womens,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2020-03-21,Народный праздник Нооруз,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2020-04-07,День народной Апрельской революции,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2020-05-01,Праздник труда,labour,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2020-05-05,День Конституции,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2020-05-09,День Победы,victory,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2020-05-24,Орозо айт,religious,yes,https://24.kg/obschestvo/153192_ponedelnik_vnbspkyirgyizstane_obyyavlen_nerabochim_vnbspsvyazi_snbspprazdnikom_orozo_ayt/,secondary
KG,2020-07-31,Курман айт,religious,yes,https://mlsp.gov.kg/ru/2020/07/24/prazdnik-kurman-ajt-otmechaemyj-31-iyulya-yavlyaetsya-nerabochim-prazdnichnym-dnem/,primary
KG,2020-08-31,День независимости,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2020-11-07,Дни истории и памяти предков,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2020-11-08,Дни истории и памяти предков,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2021-01-01,Новый год,newyear,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2021-01-07,Рождество Христово,religious,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2021-02-23,День защитника Отечества,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2021-03-08,Международный женский день,womens,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2021-03-21,Народный праздник Нооруз,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2021-04-07,День народной Апрельской революции,national,no,https://cbd.minjust.gov.kg/3-22/edition/13763/ru,primary
KG,2021-05-01,Праздник труда,labour,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2021-05-05,День Конституции,national,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2021-05-09,День Победы,victory,no,https://cbd.minjust.gov.kg/3-45/edition/25298/ru,primary
KG,2021-05-13,Орозо айт,religious,yes,https://24.kg/obschestvo/193253_13nbspmaya_vnbspkyirgyizstane_orozo_ayt_nonbspeto_nenbsptochno/,secondary
