corridor,indicator,split,window,params,feasible,n_feasible,fitted
UZS,dip_vs_trend,4,2023-01…2023-06,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 5, ""_score"": 1.4878}",True,5.0,
UZS,ml_localmin,4,2023-01…2023-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0229, ""_fitted"": true, ""_pos_rate_val"": 0.406}",,,True
UZS,momentum,5,2023-07…2023-12,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9344}",True,4.0,
UZS,level,5,2023-07…2023-12,"{""window"": 120, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 55, ""_score"": 1.2686}",True,55.0,
UZS,reversal,5,2023-07…2023-12,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 16, ""_score"": 1.3339}",True,16.0,
UZS,seasonality,5,2023-07…2023-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,5,2023-07…2023-12,"{""span"": 80, ""window"": 120, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2644}",True,4.0,
UZS,ml_localmin,5,2023-07…2023-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0123, ""_fitted"": true, ""_pos_rate_val"": 0.306}",,,True
UZS,momentum,6,2024-01…2024-06,"{""n"": 2, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9344}",True,4.0,
UZS,level,6,2024-01…2024-06,"{""window"": 120, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 51, ""_score"": 1.2686}",True,51.0,
UZS,reversal,6,2024-01…2024-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.3339}",True,14.0,
UZS,seasonality,6,2024-01…2024-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,6,2024-01…2024-06,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.4878}",True,6.0,
UZS,ml_localmin,6,2024-01…2024-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.1137, ""_fitted"": true, ""_pos_rate_val"": 0.5}",,,True
UZS,momentum,7,2024-07…2024-12,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.95}",True,4.0,
